Error code,Error message
570002,Occurrence CAN queue overflow.
560001,Occurrence UART queue overflow.
520003,Occurrence AI queue overflow.
519000,"External library ""libusb-1.0.dll"" not found at indicated path will look at the default path instead"
-7000,The functionality is not enabled in the firmware
-7001,The pin index error in the firmware.
-7002,The HAL handle index error in the firmware.
-7003,The WPC handle index error in the firmware.
-7004,The RTC error in the firmware.
-7005,The I2C error in the firmware.
-7006,The SPI error in the firmware.
-7007,The UART error in the firmware.
-7008,The Time error in the firmware.
-7009,The PWM error in the firmware.
-7010,The pulse counter error in the firmware.
-7011,The encoder counter error in the firmware.
-7012,The EEPROM error in the firmware.
-7013,The OLED error in the firmware.
-7014,The system core error in the firmware.
-7015,The DIO error in the firmware.
-7016,The relay error in the firmware.
-7017,The AI error in the firmware.
-7018,The AO error in the firmware.
-7019,The motion error in the firmware.
-7020,The drive error in the firmware.
-7021,The thermal error in the firmware.
-7022,The CAN error in the firmware.
-7023,The USB read/write error in the firmware.
-7024,The TCP read/write error in the firmware.
-7025,The UDP read/write error in the firmware.
-7026,The bootloader error in the firmware.
-7027,The parser error in the firmware.
-7028,The other error in the firmware.
-7701,The PWM channel is not available.
-7702,The counter channel is not available.
-7801,STEM port not available or already occupied by other process.
-7901,Please ensure that the relay counter index is restricted to the range of 0 to 5 or -1.
-8001,Failed to connect to WPC DAQ. Please check USB plugin status and serial number.
-8002,Failed to connect to WPC DAQ. Please check network status and IP address.
-8007,Network DAQ connection lost.
-8008,Receive packet timeout.
-8009,The pin index is invalid
-8010,Inconsistency between the number of pins & the number of values.
-8011,There is a discrepancy in the data types between the pins and the corresponding values
-8012,The data type is incompatible or not supported.
-8014,The input value is not the acceptable range.
-8015,The Ini file extension name is not correct.
-8016,No such file or directory.
-8101,DI port not avaliable or already occupied by other process.
-8102,DO port not available or already occupied by other process.
-8201,AI port not available or already occupied by other process.
-8202,The specified AI chip select is invalid.
-8204,AO port not available or already occupied by other process.
-8206,The specified AO generation mode is invalid.
-8207,The specified AO span mode is invalid.
-8208,The specified AI acquisition mode is invalid.
-8209,AO channel not avaliable or already occupied by other process.
-8210,The specified AI sampling rate is invalid.
-8211,The specified AO form is invalid.
-8212,The specified AO sampling rate is invalid.
-8213,Numbers of AO value must lower than 13.
-8301,Thermal port not avaliable or already occupied by other process.
-8304,Thermal channel not avaliable or already occupied by other process.
-8305,The specified thermal filter mode is invalid.
-8306,The specified thermal type mode is invalid.
-8401,I2C port not avaliable or already occupied by other process.
-8403,The specified I2C clock mode is invalid.
-8404,The specified I2C address mode is invalid.
-8501,SPI port not avaliable or already occupied by other process.
-8502,The length of data exceeds maximum transfer length of SPI.
-8503,The specified SPI data size mode is invalid.
-8504,The specified SPI first bit mode is invalid.
-8505,The specified SPI prescaler mode is invalid.
-8506,The specified SPI mode is invalid.
-8601,UART port not avaliable or already occupied by other process.
-8602,The length of data exceeds maximum transfer length of UART.
-8603,The specified UART baud rate is invalid.
-8604,The specified UART stop bit mode is invalid.
-8605,The specified UART parity mode is invalid.
-8606,The specified UART data bit mode is invalid.
-8701,CAN port not avaliable or already occupied by other process.
-8702,The specified CAN speed mode from WPC DAQ is invalid.
-8703,The length of the specified CAN data is invalid.
-8793,The specified CAN TX is invalid.
-8794,The specified CAN TX priority is invalid.
-8803,The specified motion axis is invalid
-8804,Motion port not avaliable or already occupied by other process.
-8805,The specified motion stop mode is invalid.
-8806,The specified motion search type is invalid.
-8807,The specified motion search direction is invalid.
-8808,The specified motion enable is invalid.
-8809,The specified motion stepper output is invalid.
-8810,The specified motion direction is invalid.
-8811,The specified motion polarity is invalid.
-8812,The specified motion capture type is invalid.
-8813,The specified motion capture mode is invalid.
-8814,The specified motion breakpoint mode is invalid.
-8815,The specified motion operation mode is invalid.
-8816,The specified motion acceleration mode is invalid.
-8904,Drive port not avaliable or already occupied by other process.
